LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,TOTAL_BILL,TOTAL_PAY,PAYMENT_RATIO,CREDIT_UTILIZATION,AVG_PAYMENT_DELAY,MAX_PAYMENT_DELAY,DELAYED_MONTHS_COUNT,actual_default,risk_probability,risk_segment
180000,1,1,2,32,0,0,0,0,0,0,154374,153018,146396,136531,138502,136665,7500,7000,5000,5000,6000,5137,865486,35637,0.0411757093702266,4.808255555555555,0.0,0,0,0,0.20294903686291163,Medium Risk
50000,1,3,2,23,0,0,-1,-1,-1,-1,4332,0,0,0,0,0,0,0,0,0,0,0,4332,0,0.0,0.08664,-0.6666666666666666,0,0,0,0.36991903291528283,High Risk
320000,2,2,1,39,0,0,0,0,0,0,38332,63396,66871,69339,31525,30861,30000,4700,3000,5000,5000,7000,300324,54700,0.1821366257774936,0.9385125,0.0,0,0,0,0.11519553832127027,Low Risk
410000,1,2,1,63,0,0,0,0,0,0,429392,425895,411492,371539,308888,240970,15120,16284,16524,10320,8525,6739,2188176,73512,0.0335951038673306,5.337014634146342,0.0,0,0,1,0.3286987809272606,High Risk
80000,2,1,2,24,0,0,0,-1,-1,-1,30985,44300,0,0,0,0,14300,0,0,0,0,0,75285,14300,0.1899448761373447,0.9410625,-0.5,0,0,0,0.26905675904837034,Medium Risk
90000,1,2,1,58,0,0,0,0,0,0,93737,85818,88988,50780,50929,48735,3600,5100,2200,2200,1944,2200,418987,17244,0.0411564081940489,4.655411111111111,0.0,0,0,0,0.35252458449317464,High Risk
100000,2,3,1,55,-1,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,390,390,390,390,390,2340,2340,1.0,0.0234,-1.0,-1,0,1,0.5130932335630557,Very High Risk
70000,1,2,1,34,0,0,0,0,0,-1,59841,60021,58476,20717,11473,22021,2610,1366,414,229,22021,668,232549,27308,0.1174290149602879,3.3221285714285718,-0.1666666666666666,0,0,0,0.32589430484319803,High Risk
30000,2,3,1,29,-1,-1,-1,0,0,0,3489,14926,9937,8027,14709,7483,14969,9942,10,10022,384,0,58571,35327,0.6031483157193833,1.9523666666666664,-0.5,0,0,0,0.2521232522027623,Medium Risk
220000,1,1,2,31,-1,-1,-1,-1,-1,-1,4935,3796,5227,2291,4739,1640,3796,5227,2293,4739,1640,3012,22628,20707,0.9151051794237228,0.1028545454545454,-1.0,-1,0,0,0.22450567994942608,Medium Risk
80000,1,3,1,57,2,2,2,2,2,2,7431,9895,9937,9629,10571,10749,2600,350,0,1100,500,1300,58212,5850,0.1004947433518862,0.72765,2.0,2,6,1,0.8971755115728728,Very High Risk
80000,1,1,2,30,0,0,2,2,2,2,76539,21644,17427,67659,63815,48670,3510,41,65007,53,3228,0,295754,71839,0.2429011949119876,3.696925,1.3333333333333333,2,4,0,0.6152682173110882,Very High Risk
160000,1,2,2,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,600,0,0,0,0,601,0,595,601,1.0100840336134451,0.00371875,-1.0,-1,0,1,0.2976995994374882,Medium Risk
60000,2,3,1,29,0,0,0,0,0,0,59190,56704,48980,34416,28818,28546,2200,2300,3000,1100,1000,1000,256654,10600,0.0413007395170151,4.277566666666667,0.0,0,0,0,0.2978683207413135,Medium Risk
50000,1,1,2,32,2,2,2,2,2,2,30559,31753,32847,33308,33755,34565,2000,1900,1300,1300,1500,1500,196787,9500,0.0482755466570454,3.93574,2.0,2,6,1,0.8559501223177961,Very High Risk
50000,1,2,2,26,0,0,0,0,0,0,47052,47874,40933,16603,16932,17287,1728,2856,1276,605,627,633,186681,7725,0.041380751120896,3.73362,0.0,0,0,0,0.30268862088041376,High Risk
120000,2,2,1,28,0,0,0,0,0,0,103676,96833,78920,74310,75710,77503,3283,3000,5000,3000,3000,4000,506952,21283,0.0419822784011109,4.2246,0.0,0,0,0,0.21048987837862457,Medium Risk
240000,1,2,1,30,0,0,0,0,0,0,227675,181461,186160,191355,192406,190086,10003,10009,10014,8500,10000,8000,1169143,56526,0.0483482345615549,4.871429166666666,0.0,0,0,0,0.1998478915847938,Medium Risk
320000,1,1,2,32,-1,-1,-1,0,0,-1,488,2290,14080,9931,7590,9685,2301,14109,11,38,9733,20444,44064,46636,1.0583696441539578,0.1377,-0.6666666666666666,0,0,0,0.19677627306695633,Medium Risk
240000,2,3,1,38,0,0,2,0,0,0,107148,113396,110084,112272,114779,116920,9500,0,4019,4317,4204,4314,674599,26354,0.0390661711624239,2.8108291666666667,0.3333333333333333,2,1,1,0.3138962875236521,High Risk
240000,2,1,2,27,-1,-1,-1,-1,-1,-1,3293,9051,2804,3958,12157,3874,9079,2804,3958,12157,3874,937,35137,32809,0.933745055070154,0.1464041666666666,-1.0,-1,0,0,0.22973205673792646,Medium Risk
30000,1,2,1,38,1,2,0,0,0,2,24305,23621,24346,25359,26987,26416,0,1410,1423,2051,0,2000,151034,6884,0.0455791411205423,5.034466666666667,0.8333333333333334,2,3,1,0.7105703433644868,Very High Risk
260000,1,2,2,28,0,0,0,0,0,0,251829,234867,237497,215343,205576,207688,10000,10500,9150,7500,8000,7500,1352800,52650,0.0389192785334121,5.203076923076923,0.0,0,0,0,0.23992660301169474,Medium Risk
120000,1,2,2,26,2,2,2,2,0,0,109110,105891,113662,110349,112036,114584,0,11000,0,5000,4332,9404,665632,29736,0.0446733330128359,5.5469333333333335,1.3333333333333333,2,4,0,0.8247289672398277,Very High Risk
80000,2,2,1,47,0,0,-1,-1,-1,-1,4762,3235,1970,0,0,0,1000,1970,0,0,0,0,9967,2970,0.2979833450386274,0.1245875,-0.6666666666666666,0,0,0,0.34841111287413296,High Risk
70000,2,2,2,55,0,0,0,0,0,0,67572,58969,57625,45675,46236,46758,2124,2311,1622,1674,1677,1697,322835,11105,0.0343983768798302,4.611928571428572,0.0,0,0,0,0.27111711261476273,Medium Risk
110000,1,2,2,51,0,0,0,0,0,0,69564,51264,51584,49601,50485,50565,2500,1800,1800,2000,2000,2000,323063,12100,0.0374539950412148,2.9369363636363635,0.0,0,0,0,0.24409923909670433,Medium Risk
120000,1,2,2,27,0,0,0,0,0,0,29344,33474,29029,26523,20554,19348,5053,1789,2037,659,802,640,158272,10980,0.0693742418115649,1.3189333333333333,0.0,0,0,0,0.16727963180223743,Medium Risk
300000,2,2,1,40,-1,-1,-1,-1,-1,-1,2991,1278,4043,683,172,402,1278,4045,685,172,402,4080,9569,10662,1.1142230118089664,0.0318966666666666,-1.0,-1,0,0,0.22534016002464138,Medium Risk
120000,2,2,2,37,2,2,2,0,0,0,38757,41302,39247,44412,23344,22892,4300,0,9076,8788,1000,2000,209954,25164,0.1198548253426941,1.7496166666666666,1.0,2,3,0,0.7163018171168184,Very High Risk
280000,1,2,1,37,0,0,0,0,0,-1,149227,152331,153080,156000,160000,40485,5505,3258,3120,4000,100045,10000,811123,125928,0.1552514230270871,2.896867857142857,-0.1666666666666666,0,0,0,0.2735995628570825,Medium Risk
30000,2,2,2,24,0,0,0,0,2,2,20367,21882,22929,25433,26228,25679,2000,1696,3200,1500,0,4306,142518,12702,0.0891255841367406,4.7506,0.6666666666666666,2,2,0,0.5137601755605042,Very High Risk
50000,1,3,1,48,1,-1,-1,-1,-1,-1,6300,0,0,0,0,5275,0,0,0,0,5275,0,11575,5275,0.4557235421166307,0.2315,-0.6666666666666666,1,1,0,0.5392859322356534,Very High Risk
320000,2,2,1,41,-1,-1,-1,-1,-1,-1,2555,7065,648,2258,722,15937,7100,651,2269,725,16014,3088,29185,29847,1.0226828850436869,0.091203125,-1.0,-1,0,0,0.20502176524970023,Medium Risk
20000,2,2,1,24,4,3,2,2,2,2,16549,16002,16047,15492,16739,16320,0,600,0,1500,0,2000,97149,4100,0.0422032136203151,4.85745,2.5,4,6,1,0.873154319004418,Very High Risk
150000,1,2,1,35,2,2,2,2,2,2,144194,145889,146189,146838,148754,150746,6600,5300,5600,5500,5700,5500,882610,34200,0.0387487112088011,5.884066666666667,2.0,2,6,1,0.8288459898421325,Very High Risk
10000,1,3,2,36,-1,-1,-1,-1,0,0,576,3100,3629,6260,5990,6520,4009,4011,6260,120,2000,2000,26075,18400,0.7056567593480345,2.6075,-0.6666666666666666,0,0,1,0.33710173724233367,High Risk
350000,2,3,1,64,0,0,0,0,0,0,30726,27639,28890,31090,32265,33737,3000,2000,3000,2000,2000,2000,184347,14000,0.0759437365403288,0.5267057142857143,0.0,0,0,0,0.14786425536266157,Low Risk
70000,2,2,1,50,0,0,0,0,0,0,12857,13867,14897,15941,16376,16959,1530,1560,1600,1000,1000,2400,90897,9090,0.1000033004389583,1.2985285714285717,0.0,0,0,0,0.24769269368096605,Medium Risk
340000,2,1,2,36,0,0,0,-1,0,0,91938,85927,71707,92695,86244,71538,3911,5104,92695,3114,2613,2366,500049,109803,0.2195844807208893,1.4707323529411764,-0.1666666666666666,0,0,0,0.12510478147273457,Low Risk
380000,1,2,1,42,-1,-1,-1,-1,-1,-1,2588,38981,6267,19774,12297,2700,39529,6930,19873,12361,2713,5291,82607,86697,1.0495115426053483,0.2173868421052631,-1.0,-1,0,0,0.14515735756629458,Low Risk
70000,2,3,1,53,2,2,2,2,2,2,54251,55402,53925,56814,58053,59246,2600,0,4400,2300,2300,2100,337691,13700,0.0405696331853676,4.824157142857143,2.0,2,6,1,0.8649722094793708,Very High Risk
180000,1,1,2,31,-1,-1,-1,-1,-1,-1,914,907,900,923,922,900,907,900,923,922,900,946,5466,5498,1.0058543724844493,0.0303666666666666,-1.0,-1,0,0,0.22363614656409558,Medium Risk
10000,2,3,1,42,2,0,0,0,0,0,8965,8640,9412,9604,9800,0,1228,1000,192,196,0,8138,46421,10754,0.23166239417505,4.6421,0.3333333333333333,2,1,1,0.6753414236909802,Very High Risk
80000,1,2,2,27,1,2,-1,-1,-1,-1,3751,832,2696,1457,990,3356,2,2704,1461,993,3366,5012,13082,13538,1.0348570554961014,0.163525,-0.1666666666666666,2,2,1,0.5439754769362108,Very High Risk
290000,2,1,2,30,0,0,0,0,0,-1,288033,260683,190012,36223,-4724,225276,10784,10295,2082,4724,230000,10000,995503,267885,0.2690951207580489,3.432768965517241,-0.1666666666666666,0,0,0,0.21905954969394784,Medium Risk
330000,2,2,1,27,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2234,0,0,0,0,2234,1000,2234,3234,1.4476275738585498,0.0067696969696969,-1.0,-1,0,0,0.24964611830709887,Medium Risk
520000,1,1,1,55,-1,-1,-1,-1,-1,-1,2292,5139,8290,35024,10881,7208,5227,8309,35026,10883,7310,4890,68834,71645,1.0408373768777055,0.1323730769230769,-1.0,-1,0,0,0.16964496632025822,Medium Risk
10000,1,2,2,23,0,0,2,0,0,2,7886,9085,7784,8547,8907,6844,1500,1000,1000,600,200,500,49053,4800,0.097853342303223,4.9053,0.6666666666666666,2,2,1,0.6248198310782519,Very High Risk
60000,2,2,1,59,4,4,4,5,4,3,54506,56998,59111,59595,58079,56892,4000,3601,2000,0,0,0,345181,9601,0.027814393028585,5.753016666666666,4.0,5,6,0,0.6755558841506348,Very High Risk
160000,2,1,2,30,0,0,0,0,0,0,86454,61510,62921,64274,66198,68126,3000,3000,3000,3000,3000,3000,409483,18000,0.0439578688248352,2.55926875,0.0,0,0,1,0.15039674076801113,Medium Risk
400000,2,3,1,46,-1,-1,2,0,0,-1,260,58257,42948,25962,15316,6813,60064,42,1202,9,6813,4682,149556,72812,0.4868544224237075,0.37389,-0.1666666666666666,2,1,1,0.24935628580018526,Medium Risk
60000,1,2,1,36,0,0,0,0,0,0,37129,37593,37841,38634,28811,28907,1602,1989,1782,1169,1196,1152,208915,8890,0.0425531914893617,3.4819166666666668,0.0,0,0,1,0.3106172696476468,High Risk
260000,2,1,2,26,0,0,0,0,0,0,238110,244368,245186,254614,176211,180845,10368,15186,14614,7211,7850,6912,1339334,62141,0.0463969405689693,5.151284615384616,0.0,0,0,0,0.19271260752776523,Medium Risk
360000,2,2,1,30,0,0,0,0,0,0,20992,40125,44454,48382,51951,55957,20000,5000,5000,5000,5000,3000,261861,43000,0.1642092560556936,0.7273916666666667,0.0,0,0,0,0.10718086056058317,Low Risk
50000,1,3,1,38,1,5,4,3,2,0,51106,50059,48988,47917,47020,48027,0,0,0,0,1943,1727,293117,3670,0.0125205975770767,5.86234,2.5,5,5,1,0.7602431940730828,Very High Risk
230000,1,3,2,31,0,-1,-1,-1,-1,-1,4261,25,221,417,613,-191,1000,1000,1000,1000,0,0,5346,4000,0.7482229704451927,0.0232434782608695,-0.8333333333333334,0,0,0,0.28669885659745076,Medium Risk
30000,2,2,1,43,-1,0,0,0,0,0,25166,26195,27209,27924,30204,30000,1437,1451,1166,2900,600,0,166698,7554,0.0453154806896303,5.5566,-0.1666666666666666,0,0,0,0.38429063857749807,High Risk
390000,2,1,2,28,0,0,0,-1,-1,-1,202248,205150,0,0,0,0,10000,0,0,0,0,0,407398,10000,0.0245460213354017,1.0446102564102564,-0.5,0,0,0,0.22010270335161447,Medium Risk
180000,2,2,2,31,0,0,0,0,0,0,112164,50838,51753,53619,53881,54760,1821,2000,3000,2000,2000,2100,377015,12921,0.0342718459477739,2.094527777777778,0.0,0,0,0,0.16670406551994285,Medium Risk
220000,1,3,1,30,0,0,0,0,2,0,162105,170592,173969,183030,181385,174107,10000,5013,10626,52,5255,4222,1045188,35168,0.0336475351802737,4.750854545454546,0.3333333333333333,2,1,1,0.4626034880286176,High Risk
150000,2,3,1,48,0,0,-1,-1,-1,-1,9730,0,1366,1388,3118,1148,0,1366,1388,3118,1148,496,16750,7516,0.4487164179104477,0.1116666666666666,-0.6666666666666666,0,0,0,0.2573235551361418,Medium Risk
60000,2,3,1,43,2,2,-1,-1,-1,-1,4703,0,0,0,0,992,0,0,0,0,992,14000,5695,14992,2.632484635645303,0.0949166666666666,0.0,2,2,1,0.6836716219041516,Very High Risk
150000,1,2,2,37,0,0,0,0,0,0,71341,62432,56091,58919,60363,40448,4117,4002,5000,1925,5316,5000,349594,25360,0.0725412907544179,2.330626666666667,0.0,0,0,0,0.189571481267343,Medium Risk
110000,1,2,1,30,0,0,0,-1,2,2,35283,26000,9000,63853,59308,60576,1500,1500,63853,1500,2062,0,254020,70415,0.2772025824738209,2.309272727272728,0.5,2,2,0,0.473137614154491,High Risk
30000,1,3,2,45,0,0,0,0,0,0,28185,28296,23455,24179,24289,24649,1377,1370,1294,1015,900,913,153053,6869,0.0448798782121225,5.101766666666666,0.0,0,0,0,0.3284955302994781,High Risk
200000,1,1,1,58,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,-1,0,1,0.5448562680435202,Very High Risk
80000,1,2,1,28,-1,-1,-1,-1,-1,-1,390,390,390,540,540,540,390,390,540,540,540,390,2790,2790,1.0,0.034875,-1.0,-1,0,1,0.4072757967056195,High Risk
270000,1,1,1,44,3,3,4,4,4,4,256402,264267,271951,278509,283545,278436,17944,18112,15405,10000,0,0,1633110,61461,0.0376343295920054,6.048555555555556,3.6666666666666665,4,6,0,0.6292616317766749,Very High Risk
70000,2,3,2,24,0,0,0,0,0,0,69039,68609,69217,69327,68582,68677,3000,4000,3200,3000,3000,3000,413451,19200,0.0464383929413642,5.906442857142857,0.0,0,0,0,0.20328148764714557,Medium Risk
180000,2,1,1,36,0,0,0,0,0,0,4911,6688,8432,9977,10030,10836,2000,2000,2000,500,1100,0,50874,7600,0.1493886857726933,0.2826333333333333,0.0,0,0,0,0.21273075936217492,Medium Risk
80000,1,2,2,26,0,0,-1,-1,-1,-1,350,-40,70,180,-210,220,0,500,500,0,820,500,570,2320,4.0701754385964914,0.007125,-0.6666666666666666,0,0,0,0.35902345949912856,High Risk
60000,2,2,2,36,0,0,0,0,0,0,57724,56597,50766,47022,31606,30820,2000,5015,2000,3000,1300,1500,274535,14815,0.0539639754493962,4.575583333333333,0.0,0,0,0,0.29830973122883725,Medium Risk
280000,2,1,2,23,0,0,0,0,0,0,262579,235354,199360,193888,193132,188016,6453,6000,5334,5397,5400,5894,1272329,34478,0.0270983369867384,4.544032142857143,0.0,0,0,0,0.24014271304156065,Medium Risk
80000,2,2,2,44,0,0,0,0,-1,-1,22771,17047,11885,8254,5144,15365,1239,1435,1350,5144,15365,2250,80466,26783,0.332848656575448,1.005825,-0.3333333333333333,0,0,0,0.21892330374038846,Medium Risk
120000,2,2,1,38,2,2,2,2,2,2,63700,65069,66450,67373,68186,68959,3000,3000,2600,2500,2000,3000,399737,16100,0.0402764817867748,3.3311416666666664,2.0,2,6,1,0.9310030127745963,Very High Risk
30000,2,2,1,25,0,0,0,2,2,2,29883,27523,31010,30207,31203,30554,2000,4273,0,2640,0,1500,180380,10413,0.0577281295043796,6.012666666666667,1.0,2,3,1,0.6087925481274088,Very High Risk
20000,1,2,2,27,1,-1,0,0,0,0,0,18965,20042,20115,20000,16433,18965,1391,1207,602,707,672,95555,23544,0.2463921301868034,4.77775,0.0,1,1,0,0.40675713755382864,High Risk
20000,1,2,2,24,0,0,0,0,0,0,17697,18445,19382,18440,18826,17311,1634,1571,629,652,618,640,110101,5744,0.052170280015622,5.50505,0.0,0,0,0,0.3397501909049254,High Risk
60000,2,2,2,31,1,2,0,0,0,2,20544,19921,20993,21736,23172,22661,0,1700,1400,1800,0,1800,129027,6700,0.0519271160299782,2.15045,0.8333333333333334,2,3,0,0.6840157410917378,Very High Risk
100000,1,1,2,27,0,0,2,2,2,2,36014,39321,39145,39494,39896,28256,4200,900,1400,900,6440,500,222126,14340,0.0645579535939061,2.22126,1.3333333333333333,2,4,1,0.5976394508865916,Very High Risk
130000,2,3,1,28,0,0,0,0,0,0,29974,28037,37414,42816,43089,37101,5026,15430,12015,8020,1060,5017,218431,46568,0.213193182286397,1.6802384615384616,0.0,0,0,0,0.13956793043482596,Low Risk
280000,2,1,1,56,-1,-1,2,-1,-1,-1,-5,4609,1351,1108,1288,3552,4614,1,1109,1290,3561,3279,11903,13854,1.1639082584222464,0.0425107142857142,-0.5,2,1,0,0.3795517947421868,High Risk
120000,2,2,1,34,-1,-1,-1,-1,0,0,326,499,1870,652,326,0,499,1870,652,0,0,1705,3673,4726,1.2866866321807786,0.0306083333333333,-0.6666666666666666,0,0,0,0.3327130630653792,High Risk
150000,2,2,3,48,0,0,0,0,0,-1,3611,5153,6158,4626,0,0,2000,1523,2000,0,0,0,19548,5523,0.2825352977286678,0.13032,-0.1666666666666666,0,0,0,0.22970714113565743,Medium Risk
150000,2,2,2,37,0,0,0,0,0,0,6039,5837,8770,8740,2323,5307,3000,3014,3086,2000,3003,3000,37016,17103,0.462043440674303,0.2467733333333333,0.0,0,0,0,0.17536520007633002,Medium Risk
130000,2,3,1,37,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,-1,0,1,0.32428530766090435,High Risk
140000,2,2,1,49,-1,-1,-1,-1,-1,-1,2457,0,0,0,0,579,0,0,0,0,579,1968,3036,2547,0.8389328063241107,0.0216857142857142,-1.0,-1,0,0,0.3401812123597211,High Risk
50000,2,2,1,31,0,0,2,0,0,2,44970,48101,46993,47940,50903,49794,3855,0,1694,3713,2000,1900,288701,13162,0.0455904205388966,5.77402,0.6666666666666666,2,2,1,0.5029453369753701,Very High Risk
180000,1,1,2,41,0,-1,-1,-1,0,0,16366,18339,2766,97996,55156,36213,18339,2766,97996,1861,1196,3000,226836,125158,0.551755453279021,1.2602,-0.5,0,0,0,0.168799485564128,Medium Risk
150000,2,1,2,25,-1,0,-1,-1,-1,-1,18836,5312,740,10,0,0,2000,740,1410,0,0,0,24898,4150,0.1666800546228612,0.1659866666666666,-0.8333333333333334,0,0,0,0.19928718416280503,Medium Risk
310000,2,1,1,35,-1,-1,-1,-1,-1,-1,1815,3689,20524,7986,1100,9622,3689,20658,7986,1100,9622,0,44736,43055,0.9624239985693848,0.1443096774193548,-1.0,-1,0,0,0.22572194230442755,Medium Risk
260000,2,2,2,31,-1,3,2,2,2,0,82274,80426,78536,94069,92447,95925,0,0,17000,0,5015,4293,523677,26308,0.0502370736159884,2.014142307692308,1.3333333333333333,3,4,0,0.6008829992285822,Very High Risk
180000,1,1,2,34,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,-1,0,0,0.4517994455220825,High Risk
20000,1,2,2,38,0,0,0,0,0,0,19845,18245,17658,16576,13529,10387,1694,1368,547,504,347,6000,96240,10460,0.1086866167913549,4.812,0.0,0,0,0,0.34980745965506366,High Risk
120000,1,1,1,45,0,0,0,0,0,0,20877,21909,22922,23376,23866,24339,1369,1382,836,866,870,902,137289,6225,0.0453423071039923,1.144075,0.0,0,0,0,0.279766153082293,Medium Risk
50000,1,2,1,41,0,0,0,0,0,0,36696,46041,47890,8412,9412,0,10000,3012,1000,1000,0,0,148451,15012,0.1011242766973614,2.96902,0.0,0,0,0,0.27628349812009145,Medium Risk
60000,2,2,1,37,0,0,0,0,0,0,59462,60866,54007,52089,29397,29110,3000,2570,2202,1200,1100,1100,284931,11172,0.0392094928245785,4.74885,0.0,0,0,1,0.3013276031075324,High Risk
150000,2,1,2,36,1,-1,-1,-1,-1,-1,0,990,0,234,0,0,990,0,234,0,0,0,1224,1224,1.0,0.00816,-0.6666666666666666,1,1,0,0.5148560234344404,Very High Risk
550000,1,1,2,31,1,2,2,-1,-1,-1,17516,1600,94,100,704,7480,0,94,112,704,7491,7000,27494,15401,0.5601585800538299,0.0499890909090909,0.3333333333333333,2,3,0,0.4450500533596177,High Risk
110000,2,2,1,45,0,0,0,0,0,0,108214,107512,82828,47978,47276,48109,5300,3300,1700,1900,1770,3000,441917,16970,0.0384008761826315,4.017427272727272,0.0,0,0,0,0.2315545769757291,Medium Risk
140000,2,1,1,42,2,2,2,0,0,0,141321,141836,139070,134168,135678,136494,4300,1003,4854,5500,5200,5100,828567,25957,0.0313275812336238,5.918335714285714,1.0,2,3,1,0.8006565909814357,Very High Risk
500000,1,1,2,47,-1,-1,-1,-1,0,-1,21376,20473,3581,18855,6783,5921,20473,3587,18860,146,5923,9464,76989,58453,0.7592383327488342,0.153978,-0.8333333333333334,0,0,0,0.14359664388212115,Low Risk
80000,2,3,1,44,0,0,2,0,0,0,80808,81615,79075,79604,78567,79810,6926,0,3000,3000,3300,3200,479479,19426,0.0405148087820321,5.9934875,0.3333333333333333,2,1,0,0.4198227557791504,High Risk
130000,2,2,2,26,2,0,0,0,0,0,130535,127155,126264,128318,96428,98156,6000,5200,5000,3500,3622,3920,706856,27242,0.0385396742759487,5.437353846153846,0.3333333333333333,2,1,1,0.7624736949774129,Very High Risk
50000,1,2,2,24,0,0,0,0,0,0,35166,29045,15188,7582,7741,7958,1300,1106,1500,281,346,159,102680,4692,0.0456953642384106,2.0536,0.0,0,0,0,0.2779061909560336,Medium Risk
200000,2,1,2,27,0,0,0,0,0,0,62574,63814,65265,66234,62356,55080,2278,2473,2161,2075,1973,2000,375323,12960,0.0345302579378295,1.876615,0.0,0,0,0,0.14111839307186558,Low Risk
